363566, 3.33327e+006, -0, -0.13, 10.1667, 33.2694, 0.00899103, -2.31621, 10.1003
366123, 3.33333e+006, 0, -0.13, 10.1667, 33.2825, 0.027482, -2.30266, 10.0907
368620, 3.3334e+006, -0, -0.13, 10.1667, 33.3204, -0.0259938, -2.37114, 10.0616
370820, 3.3334e+006, 0, -0.13, 10.1667, 33.3499, 0.0671487, -2.429, 10.0377
372570, 3.3334e+006, -0, -0.13, 10.1667, 33.3397, 0.0535968, -2.49887, 10.0447
373980, 3.3334e+006, 0, -0.13, 10.1667, 33.295, -0.0705806, -2.53312, 10.0767
375370, 3.3335e+006, -0, -0.13, 10.1667, 33.2805, -0.0500032, -2.57909, 10.0877
376720, 3.3335e+006, 0, -0.13, 10.1667, 33.2781, -0.0362378, -2.62504, 10.0889
378030, 3.3336e+006, -0, -0.13, 10.1667, 33.2614, -0.0554305, -2.65957, 10.1012
379380, 3.3336e+006, 0, -0.13, 10.1667, 33.2662, -0.0461087, -2.68994, 10.0973
380780, 3.3335e+006, -0, -0.13, 10.1667, 33.2538, -0.0290778, -2.70134, 10.1064
382220, 3.3334e+006, 0, -0.13, 10.1667, 33.2565, 0.00687602, -2.71635, 10.1045
383640, 3.3333e+006, -0, -0.13, 10.1667, 33.2543, -0.0264897, -2.74651, 10.1048
385120, 3.3332e+006, 0, -0.13, 10.1667, 33.294, 0.0218218, -2.81896, 10.0764
386560, 3.333e+006, -0, -0.13, 10.1667, 33.3081, 0.0640374, -2.90407, 10.0652
387840, 3.3329e+006, 0, -0.13, 10.1667, 33.2922, -0.0125308, -2.95489, 10.0769
389040, 3.3328e+006, -0, -0.13, 10.1667, 33.2787, -0.120431, -3.01074, 10.087
390200, 3.3327e+006, 0, -0.13, 10.1667, 33.2707, -0.247594, -3.04744, 10.0918
391410, 3.3328e+006, -0, -0.13, 10.1667, 33.2864, -0.285945, -3.11242, 10.0796
392700, 3.3328e+006, 0, -0.13, 10.1667, 33.3185, -0.169307, -3.17625, 10.0566
393890, 3.3328e+006, -0, -0.13, 10.1667, 33.3414, -0.12863, -3.20475, 10.0395
394920, 3.3328e+006, 0, -0.13, 10.1667, 33.3457, -0.23926, -3.73081, 10.0357
395910, 3.3328e+006, -0, -0.13, 10.1667, 33.3372, -0.341804, -3.9282, 10.0396
396890, 3.3329e+006, 0, -0.13, 10.1667, 33.3507, -0.311189, -3.80382, 10.0286
397900, 3.333e+006, -0, -0.13, 10.1667, 33.3677, -0.330377, -4.16343, 10.0126
398640, 3.3332e+006, 0, -0.13, 10.1667, 33.3633, -0.352829, -3.61045, 10.0221
399590, 3.3333e+006, -0, -0.13, 10.1667, 33.3928, -0.119104, -4.17563, 9.98073
400970, 3.3333e+006, 0, -0.13, 10.1667, 33.3569, 0.0481204, -5.10799, 9.95367
402300, 3.3332e+006, -0, -0.13, 10.1667, 33.3896, 0.174537, -4.75316, 9.97704
403660, 3.3331e+006, 0, -0.13, 10.1667, 33.3651, 0.0326082, -3.75454, 10.0192
405260, 3.333e+006, -0, -0.13, 10.1667, 33.3362, 0.00334377, -3.31624, 10.0409
407140, 3.333e+006, 0, -0.13, 10.1667, 33.3258, 0.0463943, -3.31675, 10.048
409160, 3.3329e+006, -0, -0.13, 10.1667, 33.3236, -0.0164669, -3.39727, 10.0496
411370, 3.333e+006, 0, -0.13, 10.1667, 33.3248, -0.178103, -3.51402, 10.0461
414106, 3.33308e+006, -0, -0.13, 10.1667, 33.3613, 0.0101711, -4.546, 10.0086
417593, 3.3331e+006, 0, -0.13, 10.1667, 33.4381, 0.12717, -5.04697, 9.93162
363589, 3.33488e+006, -0, -0.13, 10.1667, 33.7136, -0.0328674, -4.62189, 9.94627
366144, 3.33489e+006, 0, -0.13, 10.1667, 33.7157, -0.0386866, -4.62126, 9.93995
368620, 3.3349e+006, -0, -0.13, 10.1667, 33.7152, -0.0523146, -4.77211, 9.94277
370820, 3.3349e+006, 0, -0.13, 10.1667, 33.7181, 0.138286, -5.0023, 9.93527
372570, 3.3349e+006, -0, -0.13, 10.1667, 33.7186, 0.110752, -5.16363, 9.92954
373980, 3.3349e+006, 0, -0.13, 10.1667, 33.7159, -0.14616, -5.24566, 9.93179
375370, 3.3349e+006, -0, -0.13, 10.1667, 33.7153, -0.103745, -5.35101, 9.93452
376720, 3.335e+006, 0, -0.13, 10.1667, 33.7123, -0.0747383, -5.414, 9.93794
378030, 3.335e+006, -0, -0.13, 10.1667, 33.7117, -0.113868, -5.46344, 9.93784
379380, 3.335e+006, 0, -0.13, 10.1667, 33.7105, -0.0944252, -5.50867, 9.9373
380780, 3.335e+006, -0, -0.13, 10.1667, 33.712, -0.0602548, -5.59769, 9.93125
382220, 3.3349e+006, 0, -0.13, 10.1667, 33.7149, 0.0144891, -5.72386, 9.92149
383640, 3.3349e+006, -0, -0.13, 10.1667, 33.7141, -0.0559116, -5.79705, 9.91428
385120, 3.3348e+006, 0, -0.13, 10.1667, 33.7181, 0.0452926, -5.85094, 9.90261
386560, 3.3348e+006, -0, -0.13, 10.1667, 33.72, 0.131121, -5.9463, 9.88954
387840, 3.3347e+006, 0, -0.13, 10.1667, 33.7216, -0.0254797, -6.00837, 9.88162
389040, 3.3347e+006, -0, -0.13, 10.1667, 33.7234, -0.242868, -6.07163, 9.87576
390200, 3.3347e+006, 0, -0.13, 10.1667, 33.7221, -0.496073, -6.10578, 9.87516
391410, 3.3347e+006, -0, -0.13, 10.1667, 33.7202, -0.56982, -6.20232, 9.87607
392700, 3.3347e+006, 0, -0.13, 10.1667, 33.7189, -0.33571, -6.29799, 9.87442
393890, 3.3347e+006, -0, -0.13, 10.1667, 33.7208, -0.254013, -6.32862, 9.87371
394920, 3.3347e+006, 0, -0.13, 10.1667, 33.682, -0.475003, -7.40678, 9.86192
395910, 3.3347e+006, -0, -0.13, 10.1667, 33.649, -0.683921, -7.86, 9.85294
396890, 3.3347e+006, 0, -0.13, 10.1667, 33.6537, -0.629496, -7.69464, 9.85465
397900, 3.3348e+006, -0, -0.13, 10.1667, 33.6031, -0.671242, -8.45902, 9.84429
398640, 3.3348e+006, 0, -0.13, 10.1667, 33.7035, -0.710893, -7.27448, 9.87408
399590, 3.3349e+006, -0, -0.13, 10.1667, 33.5365, -0.239303, -8.38961, 9.83661
400970, 3.3349e+006, 0, -0.13, 10.1667, 33.1726, 0.0951539, -10.1006, 9.73453
402300, 3.3349e+006, -0, -0.13, 10.1667, 33.4343, 0.344078, -9.37024, 9.80473
403660, 3.3348e+006, 0, -0.13, 10.1667, 33.6867, 0.0649834, -7.48225, 9.86388
405260, 3.3348e+006, -0, -0.13, 10.1667, 33.7138, 0.00676011, -6.70445, 9.87005
407140, 3.3348e+006, 0, -0.13, 10.1667, 33.7148, 0.0948182, -6.77859, 9.86888
409160, 3.3348e+006, -0, -0.13, 10.1667, 33.7152, -0.0330217, -6.81267, 9.86612
411370, 3.3348e+006, 0, -0.13, 10.1667, 33.7132, -0.347131, -6.84897, 9.86525
414106, 3.33477e+006, -0, -0.13, 10.1667, 33.595, 0.0457999, -9.0616, 9.83253
417556, 3.33479e+006, 0, -0.13, 10.1667, 33.4789, 0.00259609, -9.65184, 9.79787
363650, 3.3365e+006, -0, -0.13, 10.1667, 33.4645, 0.649671, -5.61579, 9.75868
366180, 3.3365e+006, 0, -0.13, 10.1667, 33.446, 2.30055, -6.2234, 9.75637
368620, 3.3364e+006, -0, -0.13, 10.1667, 33.4938, 3.58065, -5.56227, 9.77287
370820, 3.3364e+006, 0, -0.13, 10.1667, 33.4974, 4.75581, -5.39833, 9.7694
372570, 3.3364e+006, -0, -0.13, 10.1667, 33.4983, 5.5952, -5.31125, 9.765
373980, 3.3364e+006, 0, -0.13, 10.1667, 33.5011, 5.85807, -5.43621, 9.76312
375370, 3.3364e+006, -0, -0.13, 10.1667, 33.5032, 6.11766, -5.40103, 9.76126
376720, 3.3364e+006, 0, -0.13, 10.1667, 33.5048, 6.18824, -5.32852, 9.7607
378030, 3.3364e+006, -0, -0.13, 10.1667, 33.5053, 5.97511, -5.38108, 9.76135
379380, 3.3364e+006, 0, -0.13, 10.1667, 33.5045, 5.61238, -5.37495, 9.76205
380780, 3.3364e+006, -0, -0.13, 10.1667, 33.5023, 5.12115, -5.51837, 9.76329
382220, 3.3364e+006, 0, -0.13, 10.1667, 33.4998, 4.68903, -5.69782, 9.76392
383640, 3.3365e+006, -0, -0.13, 10.1667, 33.4963, 4.14721, -5.94772, 9.76561
385120, 3.3365e+006, 0, -0.13, 10.1667, 33.4934, 3.62507, -6.04789, 9.7669
386560, 3.3366e+006, -0, -0.13, 10.1667, 33.4901, 3.15378, -6.13824, 9.76827
387840, 3.3366e+006, 0, -0.13, 10.1667, 33.4879, 2.71013, -6.29881, 9.7707
389040, 3.3366e+006, -0, -0.13, 10.1667, 33.4868, 2.36879, -6.31382, 9.77326
390200, 3.3366e+006, 0, -0.13, 10.1667, 33.4875, 1.99915, -6.34454, 9.77665
391410, 3.3366e+006, -0, -0.13, 10.1667, 33.4887, 1.6031, -6.28462, 9.77883
392700, 3.3366e+006, 0, -0.1298, 10.1667, 33.4694, 1.49311, -7.08427, 9.77425
393890, 3.3366e+006, -0, -0.1298, 10.1667, 33.5118, 1.71828, -7.05994, 9.79508
394920, 3.3366e+006, 0, -0.1297, 10.1667, 32.7657, 2.2703, -10.7641, 9.57195
395910, 3.3366e+006, -0, -0.1295, 10.1667, 32.1391, 3.23578, -12.7871, 9.38184
396890, 3.3366e+006, 0, -0.1292, 10.1667, 32.3984, 4.54247, -11.092, 9.46363
397900, 3.3365e+006, -0, -0.1292, 10.1667, 31.4222, 5.19285, -14.1576, 9.1595
398640, 3.3365e+006, 0, -0.13, 10.1667, 33.0963, 5.24961, -11.6941, 9.65564
399590, 3.3365e+006, -0, -0.1291, 10.1667, 31.5592, 7.02653, -13.6582, 9.21953
400970, 3.3365e+006, 0, -0.1291, 10.1667, 28.1353, 10.2195, -13.7849, 8.1655
402300, 3.3365e+006, -0, -0.1297, 10.1667, 29.3862, 10.895, -15.0402, 8.56549
403660, 3.3365e+006, 0, -0.13, 10.1667, 32.8452, 8.39298, -9.94892, 9.58261
405260, 3.3365e+006, -0, -0.13, 10.1667, 33.4517, 6.45158, -6.88124, 9.75922
